Created on,Last change,Name (in database),Code,Internal remark,External remark,Measuring unit,In webshop,Surface item,Short description webshop,Long description webshop,Webshop SEO title,Webshop SEO keyword,Webshop SEO description,Webshop featured product,Rental-/Sales price,Margin price,Critical stock,Type of equipment,Rental/sales,Stock calculation method,Display in planner,Archived,List price,Transport volume,Height,Width,Length,Weight,Empty weight,Power,Current,Default equipment group,The equipment can have content,Physical/Virtual,Content editable in project,Restrict actual content,Price incl. VAT,VAT rate,Has accessories,Number of images,Tags,Current quantity excl. reserved for combinations,Current quantity,Quantity reserved for combinations,Location in default stock location,Total stock per stock location [Fabriek],Location in warehouse per stock location [Fabriek],ID,Created by (Created by),Folder (Folder),Factor group (Factor group),Discount group (Discount group),VAT class (VAT class),Main image (Main image),Ledger - credit (Ledger - credit),Ledger - debit (Ledger - debit),Created on (Serial number),Last change (Serial number),Display name (Serial number),Manufacturer serial number (Serial number),Date of purchase (Serial number),Active (Serial number),Remark (Serial number),Internal reference (Serial number),Guarantee date (Serial number),Replacement date (Serial number),Current book value (Serial number),Tags (Serial number),Seal (Serial number),Actual content from (Serial number),Combination structure (Serial number),ID (Serial number),"Created by (Serial number, Created by)","Equipment (Serial number, Equipment)","Supplier (Serial number, Supplier)","Assigned to (Serial number, Assigned to)","Managed by (Serial number, Managed by)","Main image (Serial number, Main image)","On subproject (Serial number, On subproject)","Lost (Serial number, Lost)","In repair (Serial number, In repair)"
45514.702638889,46223.66587963,Go Pro set 2,0601-006,,,,0,0,,,,,,0,15,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,18.15,0.21,0,0,,1,1,0,,1,,1275,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.702800926,46223.66587963,Go Pro set 4,0601-007,,,,0,0,,,,,,0,20,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,24.2,0.21,0,0,,1,1,0,,1,,1276,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.702939815,46223.66587963,Drone,0601-008,,,,0,0,,,,,,0,50,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,60.5,0.21,0,0,,1,1,0,,1,,1277,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.70318287,46223.66587963,Uitbreidingspakket drone,0601-009,,,,0,0,,,,,,0,15,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,18.15,0.21,0,0,,1,1,0,,1,,1278,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.70755787,46223.66587963,Tap + aciet,0201-999,,,,0,0,,,,,,0,75,0,0,Virtual combination,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,1,Virtual combination,1,All content possible,90.75,0.21,0,0,,1,1,0,,0,,1279,Jente Verbruggen,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.709305556,46223.66587963,Ijs schepper,0201-018,,,,0,0,,,,,,0,0,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,1280,Jente Verbruggen,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.755706019,46223.66587963,Baofeng 888s WalkieTalkies ,1101-001,,,,0,0,,,,,,0,10,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Communicatie,0,Physical equipment,0,All content possible,12.1,0.21,0,0,,24,24,0,,24,,1281,Jente Verbruggen,1101-Communicatie,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.800960648,46223.66587963,Buffet tafel hoes  (zwart),0401-009,,,,0,0,,,,,,0,3,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Meubilair,0,Physical equipment,0,All content possible,3.63,0.21,0,0,,11,11,0,,11,,1282,Jente Verbruggen,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45517.754409722,46223.66587963,cocktailtafelhoes (zwart),0401-010,,,,0,0,,,,,,0,3,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,,0,Physical equipment,0,All content possible,3.63,0.21,0,0,,15,15,0,,15,,1283,Ruben Dielkens,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45517.756631944,46223.66587963,cocktailtafel met hoes (zwart),0401-006,,,,0,0,,,,,,0,8,0,0,Virtual combination,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Meubilair,1,Virtual combination,1,All content possible,9.68,0.21,0,0,,15,15,0,,0,,1284,Ruben Dielkens,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
